"gu","car","Hyd_car","lat","lng","r1","r2","r3","r4","r1_from","r2_from","r3_from","r4_from","X_0_4","X_5_9","X_10_14","X_15_19","X_20_24","X_25_29","X_30_34","X_35_39","X_40_44","X_45_49","X_50_54","X_55_59","X_60_64","X_65_69","X_70_74","X_75_79","X_80_84","X_85_89","X_90_94","X_95_99","X_100"
"강남구",234314,27,37.4959854,127.0664091,0.0421566746075845,0.146306907970777,0.155234691157519,0.201696226870437,"양재","하남","여의도","상암",14971,23751,28543,31613,34275,42563,41188,45476,47544,53662,44237,36414,33059,25483,20091,13231,7510,3790,1723,494,280
"강동구",135018,3,37.5492077,127.1464824,0.0644642670419071,0.138120265808632,0.232057650948312,0.267632536023274,"하남","양재","여의도","상암",15668,19279,18804,20920,27077,34148,33182,38549,35993,38021,36102,37588,35310,25011,17766,11599,6679,3318,1420,367,241
"강북구",76849,2,37.6469954,127.0147158,0.152952528573417,0.153927521828299,0.179180270361443,0.22562566101443,"여의도","상암","양재","하남",7480,9705,10245,13040,20901,23629,19278,21829,21943,27219,26847,27249,25725,19261,16329,13438,7833,3108,1120,331,240
"강서구",203437,4,37.5657617,126.8226561,0.0576531730861321,0.0988489327312122,0.232613868696818,0.387282424343912,"상암","여의도","양재","하남",20010,23212,21506,25237,35531,52752,50469,52881,46073,48038,43805,46132,44065,31057,22749,15375,9473,4743,1899,474,222
"관악구",120797,2,37.4653993,126.9438071,0.071484659356393,0.0903895570456051,0.124927417005637,0.272666522058905,"여의도","양재","상암","하남",11673,13447,13335,17458,41539,70235,50604,41239,34598,38187,36449,37169,34065,25663,20777,15829,8837,3610,1290,349,309
"광진구",99759,2,37.5481445,127.0857528,0.0946010561785039,0.123802429922402,0.171474322762005,0.207330248715638,"양재","하남","여의도","상암",9816,11973,12391,15371,30051,37992,31060,29048,25971,29841,29394,28850,25243,16811,12661,9571,5907,2596,955,282,206
"구로구",144401,4,37.4954856,126.858121,0.067123190551105,0.0802569936227367,0.178009994787828,0.352100512908689,"여의도","상암","양재","하남",15109,16815,15075,16814,24868,33095,33590,36693,33575,36606,36192,38280,34164,23795,18235,12926,7608,3247,1152,304,165
"금천구",87447,1,37.4600969,126.9001546,0.0723616740448238,0.114447183091456,0.134262336821512,0.316353230193361,"여의도","상암","양재","하남",7075,7674,7117,8778,15108,22565,19833,19057,16965,20559,22871,24789,20471,13578,10249,7542,4273,1885,628,183,170
"노원구",153097,1,37.655264,127.0771201,0.180582805342065,0.191287406626808,0.204215637528599,0.213804410721134,"하남","양재","여의도","상암",14977,20556,24579,31434,40032,36082,31097,36673,39256,50403,46486,42603,38635,27334,20570,16316,10654,5195,1852,498,263
"도봉구",97094,2,37.6658609,127.0317674,0.178158336646848,0.178374703792247,0.197005067349975,0.222069916035845,"상암","여의도","양재","하남",8791,11402,11806,15229,21598,23752,19986,23272,22399,28353,28904,29600,28380,19822,15149,12122,7651,3501,1301,311,166
"동대문구",98034,3,37.5838012,127.0507003,0.116119574471879,0.145512754306732,0.166219846485098,0.171172386403097,"양재","여의도","하남","상암",10501,11652,11208,14375,32816,33186,25868,27557,24980,28193,27748,27927,26415,19349,15479,12675,7572,3439,1185,378,290
"동작구",106254,3,37.4965037,126.9443073,0.0450831070954553,0.0939773313676208,0.0998063875379795,0.266369488614926,"여의도","양재","상암","하남",12293,14153,13185,16310,31555,40085,33056,32298,29489,32097,30572,30946,28385,20540,16726,12690,7862,3535,1352,368,305
"마포구",117665,6,37.5622906,126.9087803,0.0307240307227153,0.0320419042263399,0.156332836584159,0.301220874604081,"상암","여의도","양재","하남",12684,13871,13909,16003,28906,37549,33447,34192,30271,33368,28940,26601,23062,16069,13351,11196,7321,3434,1221,366,325
"서대문구",87621,5,37.5820369,126.9356665,0.0551105958728445,0.0565507694364953,0.15000602683846,0.277418283338827,"여의도","상암","양재","하남",9657,11303,11100,14203,27309,29563,23028,24334,22652,26830,25805,24827,22226,15731,13282,11257,7627,3260,1243,355,283
"서초구",182172,28,37.4769528,127.0378103,0.00888123099181318,0.133995523495118,0.179025727238095,0.184700607382141,"양재","여의도","하남","상암",14443,21526,22611,23301,25747,31309,31267,36074,37573,41922,34110,29463,27123,19991,16121,10754,6341,3116,1377,413,219
"성동구",105421,5,37.5506753,127.0409622,0.0820901094220841,0.127359721009153,0.162579742189883,0.168558240860337,"양재","여의도","상암","하남",10912,10742,9501,12015,22295,26804,24953,26684,22612,24971,24827,24687,21462,14589,11369,9178,5695,2518,896,242,241
"성북구",117767,3,37.606991,127.0232185,0.132176712923458,0.138551331546289,0.147369193158712,0.200065979389927,"여의도","양재","상암","하남",13547,17286,17479,21976,37341,36683,29661,33587,32850,40009,36567,34146,31228,22638,18389,15140,9520,4156,1554,406,369
"송파구",240968,9,37.5048534,127.1144822,0.0880413602825332,0.0975596490081855,0.201026179935348,0.244219754878673,"양재","하남","여의도","상암",24020,29230,28731,32164,41725,54819,55614,59929,54058,57525,53379,52215,47935,34129,23731,15362,8968,4637,1915,516,281
"양천구",150329,3,37.5270616,126.8561534,0.0514713101671209,0.0591195581539671,0.18724831763763,0.35227066708019,"상암","여의도","양재","하남",12918,20214,24587,27388,30059,31099,27149,32859,36602,44584,40490,37286,32536,23044,16231,11295,6918,3468,1266,366,173
"영등포구",142733,6,37.520641,126.9139242,0.0103199391490454,0.0622284813830471,0.130880368255294,0.294666346846806,"여의도","상암","양재","하남",13927,13759,11815,13825,22797,37140,37281,35513,29531,32469,32975,34830,29531,19772,15336,11546,7495,3430,1167,356,271
"용산구",77138,2,37.5311008,126.9810742,0.0659255434477363,0.0817776887805004,0.109418729790103,0.227324858581903,"여의도","양재","상암","하남",7290,8141,7861,9443,15219,21192,20900,21550,18474,20946,19832,18994,16884,11771,9436,7944,5600,2744,1155,424,365
"은평구",130486,6,37.6176125,126.9227004,0.0620246955140421,0.0870526423620236,0.185851787891349,0.298462315031918,"상암","여의도","양재","하남",13855,17255,18105,22028,30126,36880,32356,37439,36054,42405,39252,38540,35969,26361,21431,17019,10567,4419,1594,444,410
"종로구",50186,10,37.5990998,126.9861493,0.0984575657800315,0.109485120477299,0.138787421550117,0.232371738625273,"여의도","상암","양재","하남",3563,4784,5234,6929,14640,14241,11025,10882,10515,13526,13372,13509,11691,8299,6783,5883,3907,1905,755,280,261
"중구",51703,4,37.5579452,126.9941904,0.0835442097682368,0.0976194801420302,0.115257251587043,0.215863870870979,"여의도","양재","상암","하남",3829,3911,3294,4455,9784,12268,11229,11104,9430,10477,10993,11590,10311,7456,5807,4793,3137,1548,656,201,196
"중랑구",113584,2,37.5953795,127.0939669,0.131169748229767,0.139946804864772,0.190092069620644,0.215275184647603,"하남","양재","여의도","상암",11462,12935,12539,15612,24853,32346,29196,30879,27554,32106,34797,36576,33059,23167,17553,13125,7787,3397,1206,335,194
